epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1909.74,1.74267,0.98505,1.22493,0.80617,0.69605,0.74908,0.40931,1.52987,0.78401,1.10459,0.000665333,0.000665333,0.000665333
2,4039.89,1.6336,0.85344,1.15475,0.79365,0.68188,0.74328,0.40799,1.5271,0.80748,1.10267,0.00120013,0.00120013,0.00120013
3,6404.53,1.64027,0.83699,1.15658,0.81794,0.71377,0.75806,0.42355,1.52324,0.7701,1.09734,0.00160293,0.00160293,0.00160293
4,8696.89,1.58687,0.80551,1.13878,0.83135,0.7407,0.80012,0.45023,1.48106,0.74723,1.0739,0.001406,0.001406,0.001406
5,10645.1,1.53974,0.77244,1.10507,0.86043,0.75728,0.82008,0.47661,1.42629,0.70742,1.0548,0.001208,0.001208,0.001208
6,12598.4,1.5016,0.72858,1.0958,0.85447,0.76143,0.82068,0.47326,1.42974,0.69864,1.05302,0.00101,0.00101,0.00101
7,15130.7,1.48127,0.7016,1.07439,0.87376,0.79253,0.84616,0.50204,1.3808,0.64511,1.03464,0.000812,0.000812,0.000812
8,17864.5,1.43,0.66985,1.0599,0.89074,0.78858,0.85114,0.50601,1.36508,0.64716,1.02632,0.000614,0.000614,0.000614
9,20861.1,1.42074,0.65145,1.05431,0.88131,0.80585,0.85882,0.51083,1.3654,0.61682,1.02684,0.000416,0.000416,0.000416
10,23930,1.39527,0.62848,1.03495,0.89096,0.80631,0.86474,0.51867,1.34568,0.60287,1.01752,0.000218,0.000218,0.000218
